yexp,m,n,xexp,es,pf,gx,meio,c
3.15E+07,0.774,0.326,3.06E-03,0.354,998.28,0.2,50,1.65E+03
6.30E+07,0.784,0.321,7.03E-03,0.354,998.28,0.2,50,1.65E+03
9.45E+07,0.762,0.325,1.03E-02,0.354,998.28,0.2,50,1.65E+03
1.26E+08,0.767,0.322,1.18E-02,0.354,998.28,0.2,50,1.65E+03
1.57E+08,0.771,0.317,1.45E-02,0.354,998.28,0.2,50,1.65E+03
1.89E+08,0.773,0.313,1.63E-02,0.354,998.28,0.2,50,1.65E+03
2.20E+08,0.763,0.316,1.83E-02,0.354,998.28,0.2,50,1.65E+03
3.15E+07,0.865,0.320,6.28E-03,0.257,998.28,0.2,120,1.71E+03
6.30E+07,0.835,0.315,1.01E-02,0.257,998.28,0.2,120,1.71E+03
9.45E+07,0.809,0.314,1.32E-02,0.257,998.28,0.2,120,1.71E+03
1.26E+08,0.764,0.321,1.53E-02,0.257,998.28,0.2,120,1.71E+03
1.57E+08,0.747,0.315,1.74E-02,0.257,998.28,0.2,120,1.71E+03
1.89E+08,0.728,0.320,2.00E-02,0.257,998.28,0.2,120,1.71E+03
2.20E+08,0.735,0.318,2.14E-02,0.257,998.28,0.2,120,1.71E+03
3.15E+07,3.405,0.208,6.10E-04,0.354,999.73,0.4,50,1.65E+03
6.30E+07,3.534,0.208,5.36E-03,0.354,999.73,0.4,50,1.65E+03
9.45E+07,3.420,0.214,8.82E-03,0.354,999.73,0.4,50,1.65E+03
1.26E+08,3.433,0.213,1.15E-02,0.354,999.73,0.4,50,1.65E+03
1.57E+08,3.491,0.206,1.40E-02,0.354,999.73,0.4,50,1.65E+03
1.89E+08,3.381,0.211,1.59E-02,0.354,999.73,0.4,50,1.65E+03
2.20E+08,3.394,0.208,1.81E-02,0.354,999.73,0.4,50,1.65E+03
3.15E+07,3.681,0.205,6.09E-03,0.257,999.73,0.4,120,1.71E+03
6.30E+07,3.595,0.215,8.91E-03,0.257,999.73,0.4,120,1.71E+03
9.45E+07,3.801,0.201,1.19E-02,0.257,999.73,0.4,120,1.71E+03
1.26E+08,3.451,0.206,1.56E-02,0.257,999.73,0.4,120,1.71E+03
1.57E+08,3.413,0.206,1.78E-02,0.257,999.73,0.4,120,1.71E+03
1.89E+08,3.370,0.209,1.98E-02,0.257,999.73,0.4,120,1.71E+03
2.20E+08,3.393,0.209,2.13E-02,0.257,999.73,0.4,120,1.71E+03